Year,AnnÈe,ISO,Jurisdiction,Juridiction,Fire size class,Classe de superficie ‡ l'extinction ,Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de donnÈes
1998,1998,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,68524.4,a,68524.4,a
1998,1998,AB,Alberta,Alberta,Over 100 000,Over 100 000,318588.1,a,318588.1,a
1998,1998,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",43.68,a,43.68,a
1999,1999,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",177.47,a,177.47,a
1999,1999,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",874.7,a,874.7,a
1999,1999,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,10349.3,a,10349.3,a
1999,1999,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",2959.79,a,2959.79,a
1999,1999,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",12067.2,a,12067.2,a
1999,1999,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,94049.09,a,94049.09,a
1999,1999,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",27.22,a,27.22,a
2000,2000,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",116.02,a,116.02,a
2000,2000,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",539.32,a,539.32,a
2000,2000,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1288.94,a,1288.94,a
2000,2000,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3907.8,a,3907.8,a
2000,2000,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,8871.3,a,8871.3,a
2000,2000,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",12.52,a,12.52,a
2001,2001,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",128.01,a,128.01,a
2001,2001,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",497.17,a,497.17,a
2001,2001,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,11520,a,11520,a
2001,2001,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1091.95,a,1091.95,a
2001,2001,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",6098.1,a,6098.1,a
2001,2001,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,30214.9,a,30214.9,a
2001,2001,AB,Alberta,Alberta,Over 100 000,Over 100 000,104534.3,a,104534.3,a
2001,2001,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",19.3,a,19.3,a
2002,2002,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",151.56,a,151.56,a
2002,2002,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",514.75,a,514.75,a
2002,2002,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,67196.3,a,67196.3,a
2002,2002,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1689.06,a,1689.06,a
2002,2002,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",4337.5,a,4337.5,a
2002,2002,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,56178.7,a,56178.7,a
2002,2002,AB,Alberta,Alberta,Over 100 000,Over 100 000,366320.2,a,366320.2,a
2002,2002,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",31.14,a,31.14,a
2003,2003,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",100.16,a,100.16,a
2003,2003,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",350.61,a,350.61,a
2003,2003,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,48902.16,a,48902.16,a
2003,2003,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",698.61,a,698.61,a
2003,2003,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3049,a,3049,a
2003,2003,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,21784,a,21784,a
2003,2003,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",22.38,a,22.38,a
2004,2004,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",160.18,a,160.18,a
2004,2004,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",577.13,a,577.13,a
2004,2004,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,89629,a,89629,a
2004,2004,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1522.8,a,1522.8,a
2004,2004,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",10724.39,a,10724.39,a
2004,2004,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,25694.9,a,25694.9,a
2004,2004,AB,Alberta,Alberta,Over 100 000,Over 100 000,107828.6,a,107828.6,a
2004,2004,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",26.38,a,26.38,a
2005,2005,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",129.16,a,129.16,a
2005,2005,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",460.49,a,460.49,a
2005,2005,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,43000,a,43000,a
2005,2005,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1319.7,a,1319.7,a
2005,2005,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",2027.52,a,2027.52,a
2005,2005,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,13767.16,a,13767.16,a
2005,2005,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",22.11,a,22.11,a
2006,2006,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",178.09,a,178.09,a
2006,2006,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",397.21,a,397.21,a
2006,2006,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,43736.53,a,43736.53,a
2006,2006,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",2569.39,a,2569.39,a
2006,2006,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",8933.47,a,8933.47,a
2006,2006,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,62953.69,a,62953.69,a
2006,2006,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",33.37,a,33.37,a
2007,2007,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",113.83,a,113.83,a
2007,2007,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",322.86,a,322.86,a
2007,2007,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,79125.5,a,79125.5,a
2007,2007,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",913.14,a,913.14,a
2007,2007,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3415.1,a,3415.1,a
2007,2007,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,19706.9,a,19706.9,a
2007,2007,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",21.67,a,21.67,a
2008,2008,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",144.99,a,144.99,a
2008,2008,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",459.38,a,459.38,a
2008,2008,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,11600,a,11600,a
2008,2008,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1447.81,a,1447.81,a
2008,2008,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3311.88,a,3311.88,a
2008,2008,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,3792,a,3792,a
2008,2008,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",32.77,a,32.77,a
2009,2009,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",126.02,a,126.02,a
2009,2009,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",468.92,a,468.92,a
2009,2009,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,22297.02,a,22297.02,a
2009,2009,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1323.59,a,1323.59,a
2009,2009,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",5528.69,a,5528.69,a
2009,2009,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,37126.69,a,37126.69,a
2009,2009,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",31.91,a,31.91,a
2010,2010,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",166.9,a,166.9,a
2010,2010,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",708.01,a,708.01,a
2010,2010,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,56557.6,a,56557.6,a
2010,2010,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1910.89,a,1910.89,a
2010,2010,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",4295.1,a,4295.1,a
2010,2010,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,17649.4,a,17649.4,a
2010,2010,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",35.14,a,35.14,a
2011,2011,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",98.78,a,98.78,a
2011,2011,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",267.49,a,267.49,a
2011,2011,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,188875.9,a,188875.9,a
2011,2011,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1297.46,a,1297.46,a
2011,2011,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",7229.4,a,7229.4,a
2011,2011,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,30452.5,a,30452.5,a
2011,2011,AB,Alberta,Alberta,Over 100 000,Over 100 000,577646.8,a,577646.8,a
2011,2011,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",19.85,a,19.85,a
2012,2012,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",134.29,a,134.29,a
2012,2012,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",340.15,a,340.15,a
2012,2012,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,198942.3,a,198942.3,a
2012,2012,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1204.1,a,1204.1,a
2012,2012,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",7357.75,a,7357.75,a
2012,2012,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,43209.9,a,43209.9,a
2012,2012,AB,Alberta,Alberta,Over 100 000,Over 100 000,134603,a,134603,a
2012,2012,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",26.93,a,26.93,a
2013,2013,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",80.77,a,80.77,a
2013,2013,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",275.22,a,275.22,a
2013,2013,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1278.77,a,1278.77,a
2013,2013,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",3235,a,3235,a
2013,2013,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,14689,a,14689,a
2013,2013,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",20.08,a,20.08,a
2014,2014,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",115.61,a,115.61,a
2014,2014,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",390.12,a,390.12,a
2014,2014,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1047.81,a,1047.81,a
2014,2014,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",2045.47,a,2045.47,a
2014,2014,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,20067.76,a,20067.76,a
2014,2014,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'‡ 0,1 ha",25.94,a,25.94,a
2015,2015,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",177.97,a,177.97,a
2015,2015,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",676.78,a,676.78,a
2015,2015,AB,Alberta,Alberta,10 000 - 100 000 ha,10 000 - 100 000 ha,345494.95,a,345494.95,a
2015,2015,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",2790.52,a,2790.52,a
2015,2015,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",13916.9,a,13916.9,a
2015,2015,AB,Alberta,Alberta,1000 - 10 000 ha,1000 - 10 000 ha,103224.27,a,103224.27,a
