Year,AnnÈe,ISO,Jurisdiction,Juridiction,Cause,Origine,Number,Data Qualifier,Nombre,Qualificatifs de donnÈes
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,2,a,2,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,398,a,398,a
1993,1993,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,6,a,6,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,92,a,92,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,28,a,28,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,525,a,525,a
1994,1994,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,8,a,8,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,67,a,67,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,8,a,8,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,139,a,139,a
1995,1995,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,4,a,4,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,20,a,20,a
1996,1996,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,330,a,330,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,14,a,14,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,90,a,90,a
1997,1997,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,1,a,1,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,24,a,24,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,373,a,373,a
1998,1998,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,2,a,2,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,32,a,32,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,2,a,2,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,135,a,135,a
1999,1999,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,3,a,3,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,19,a,19,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,1,a,1,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,252,a,252,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,3,a,3,a
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,21,a,21,a
2001,2001,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,106,a,106,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,12,a,12,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,70,a,70,a
2002,2002,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,3,a,3,a
2003,2003,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,12,a,12,a
2003,2003,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,148,a,148,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,35,a,35,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,252,a,252,a
2004,2004,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,10,a,10,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,16,a,16,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,239,a,239,a
2005,2005,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,6,a,6,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,23,a,23,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,139,a,139,a
2006,2006,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,4,a,4,a
2007,2007,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,37,a,37,a
2007,2007,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,141,a,141,a
2007,2007,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,6,a,6,a
2008,2008,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,21,a,21,a
2008,2008,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,214,a,214,a
2008,2008,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,5,a,5,a
2009,2009,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,15,a,15,a
2009,2009,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,26,a,26,a
2009,2009,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,1,a,1,a
2010,2010,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,19,a,19,a
2010,2010,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,201,a,201,a
2010,2010,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,4,a,4,a
2011,2011,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,25,a,25,a
2011,2011,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,166,a,166,a
2011,2011,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,8,a,8,a
2012,2012,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,29,a,29,a
2012,2012,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,245,a,245,a
2012,2012,NT,Northwest Territories,Territoires du Nord-Ouest,Unspecified,IndÈterminÈe,7,a,7,a
2013,2013,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,16,a,16,a
2013,2013,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,232,a,232,a
2014,2014,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,18,a,18,a
2014,2014,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,367,a,367,a
2015,2015,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,16,a,16,a
2015,2015,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,229,a,229,a
2016,2016,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,17,a,17,a
2016,2016,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,171,a,171,a
2017,2017,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,19,a,19,a
2017,2017,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,242,a,242,a
2018,2018,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,5,a,5,a
2018,2018,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,54,a,54,a
2019,2019,NT,Northwest Territories,Territoires du Nord-Ouest,Human activity,ActivitÈs humaines,20,a,20,a
2019,2019,NT,Northwest Territories,Territoires du Nord-Ouest,Lightning,Foudre,126,a,126,a
1990,1990,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,940,a,940,a
1990,1990,ON,Ontario,Ontario,Lightning,Foudre,645,a,645,a
1990,1990,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,27,a,27,a
1991,1991,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1265,a,1265,a
1991,1991,ON,Ontario,Ontario,Lightning,Foudre,1259,a,1259,a
1991,1991,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,36,a,36,a
1992,1992,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,675,a,675,a
1992,1992,ON,Ontario,Ontario,Lightning,Foudre,262,a,262,a
1992,1992,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,23,a,23,a
1993,1993,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,562,a,562,a
1993,1993,ON,Ontario,Ontario,Lightning,Foudre,163,a,163,a
1993,1993,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,17,a,17,a
1994,1994,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,698,a,698,a
1994,1994,ON,Ontario,Ontario,Lightning,Foudre,351,a,351,a
1994,1994,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,30,a,30,a
1995,1995,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,985,a,985,a
1995,1995,ON,Ontario,Ontario,Lightning,Foudre,1133,a,1133,a
1995,1995,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,32,a,32,a
1996,1996,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,576,a,576,a
1996,1996,ON,Ontario,Ontario,Lightning,Foudre,669,a,669,a
1996,1996,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,30,a,30,a
1997,1997,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,925,a,925,a
1997,1997,ON,Ontario,Ontario,Lightning,Foudre,681,a,681,a
1997,1997,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,40,a,40,a
1998,1998,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,854,a,854,a
1998,1998,ON,Ontario,Ontario,Lightning,Foudre,1412,a,1412,a
1998,1998,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,25,a,25,a
1999,1999,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,633,a,633,a
1999,1999,ON,Ontario,Ontario,Lightning,Foudre,376,a,376,a
1999,1999,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,16,a,16,a
2000,2000,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,443,a,443,a
2000,2000,ON,Ontario,Ontario,Lightning,Foudre,199,a,199,a
2000,2000,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,11,a,11,a
2001,2001,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,545,a,545,a
2001,2001,ON,Ontario,Ontario,Lightning,Foudre,1027,a,1027,a
2001,2001,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,14,a,14,a
2002,2002,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,438,a,438,a
2002,2002,ON,Ontario,Ontario,Lightning,Foudre,703,a,703,a
2002,2002,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,21,a,21,a
2003,2003,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,475,a,475,a
2003,2003,ON,Ontario,Ontario,Lightning,Foudre,517,a,517,a
2003,2003,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,47,a,47,a
2004,2004,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,308,a,308,a
2004,2004,ON,Ontario,Ontario,Lightning,Foudre,113,a,113,a
2004,2004,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,13,a,13,a
2005,2005,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,592,a,592,a
2005,2005,ON,Ontario,Ontario,Lightning,Foudre,1340,a,1340,a
2005,2005,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,27,a,27,a
2006,2006,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,497,a,497,a
2006,2006,ON,Ontario,Ontario,Lightning,Foudre,1755,a,1755,a
2006,2006,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,31,a,31,a
2007,2007,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,564,a,564,a
2007,2007,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1,a,1,a
2007,2007,ON,Ontario,Ontario,Lightning,Foudre,533,a,533,a
2007,2007,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,29,a,29,a
2008,2008,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,202,a,202,a
2008,2008,ON,Ontario,Ontario,Lightning,Foudre,118,a,118,a
2008,2008,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,20,a,20,a
2009,2009,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,251,a,251,a
2009,2009,ON,Ontario,Ontario,Lightning,Foudre,121,a,121,a
2009,2009,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,15,a,15,a
2010,2010,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,541,a,541,a
2010,2010,ON,Ontario,Ontario,Lightning,Foudre,363,a,363,a
2010,2010,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,27,a,27,a
2011,2011,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,457,a,457,a
2011,2011,ON,Ontario,Ontario,Lightning,Foudre,847,a,847,a
2011,2011,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,33,a,33,a
2012,2012,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,611,a,611,a
2012,2012,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,1,a,1,a
2012,2012,ON,Ontario,Ontario,Lightning,Foudre,978,a,978,a
2012,2012,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,30,a,30,a
2013,2013,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,330,a,330,a
2013,2013,ON,Ontario,Ontario,Lightning,Foudre,239,a,239,a
2013,2013,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,12,a,12,a
2014,2014,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,180,a,180,a
2014,2014,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,5,a,5,a
2014,2014,ON,Ontario,Ontario,Lightning,Foudre,117,a,117,a
2014,2014,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,6,a,6,a
2015,2015,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,343,a,343,a
2015,2015,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,2,a,2,a
2015,2015,ON,Ontario,Ontario,Lightning,Foudre,319,a,319,a
2015,2015,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,7,a,7,a
2016,2016,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,451,a,451,a
2016,2016,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,2,a,2,a
2016,2016,ON,Ontario,Ontario,Lightning,Foudre,173,a,173,a
2016,2016,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,22,a,22,a
2017,2017,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,209,a,209,a
2017,2017,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,3,a,3,a
2017,2017,ON,Ontario,Ontario,Lightning,Foudre,556,a,556,a
2017,2017,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,11,a,11,a
2018,2018,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,373,a,373,a
2018,2018,ON,Ontario,Ontario,Lightning,Foudre,943,a,943,a
2018,2018,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,12,a,12,a
2019,2019,ON,Ontario,Ontario,Human activity,ActivitÈs humaines,277,a,277,a
2019,2019,ON,Ontario,Ontario,Lightning,Foudre,255,a,255,a
2019,2019,ON,Ontario,Ontario,Unspecified,IndÈterminÈe,6,a,6,a
1990,1990,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,7,a,7,a
1990,1990,PC,Parks Canada,Parcs Canada,Lightning,Foudre,57,a,57,a
1990,1990,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,1,a,1,a
1991,1991,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,2,a,2,a
1991,1991,PC,Parks Canada,Parcs Canada,Lightning,Foudre,19,a,19,a
1992,1992,PC,Parks Canada,Parcs Canada,Lightning,Foudre,5,a,5,a
1993,1993,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,3,a,3,a
1993,1993,PC,Parks Canada,Parcs Canada,Lightning,Foudre,30,a,30,a
1993,1993,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,1,a,1,a
1994,1994,PC,Parks Canada,Parcs Canada,Lightning,Foudre,52,a,52,a
1994,1994,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
1995,1995,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,1,a,1,a
1995,1995,PC,Parks Canada,Parcs Canada,Lightning,Foudre,8,a,8,a
1995,1995,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
1996,1996,PC,Parks Canada,Parcs Canada,Lightning,Foudre,22,a,22,a
1997,1997,PC,Parks Canada,Parcs Canada,Lightning,Foudre,7,a,7,a
1998,1998,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,2,a,2,a
1998,1998,PC,Parks Canada,Parcs Canada,Lightning,Foudre,41,a,41,a
1999,1999,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,5,a,5,a
1999,1999,PC,Parks Canada,Parcs Canada,Lightning,Foudre,11,a,11,a
2000,2000,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,52,a,52,a
2000,2000,PC,Parks Canada,Parcs Canada,Lightning,Foudre,76,a,76,a
2001,2001,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,64,a,64,a
2001,2001,PC,Parks Canada,Parcs Canada,Lightning,Foudre,59,a,59,a
2001,2001,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,5,a,5,a
2002,2002,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,52,a,52,a
2002,2002,PC,Parks Canada,Parcs Canada,Lightning,Foudre,43,a,43,a
2002,2002,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,8,a,8,a
2003,2003,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,52,a,52,a
2003,2003,PC,Parks Canada,Parcs Canada,Lightning,Foudre,77,a,77,a
2004,2004,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,31,a,31,a
2004,2004,PC,Parks Canada,Parcs Canada,Lightning,Foudre,67,a,67,a
2004,2004,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,3,a,3,a
2005,2005,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,42,a,42,a
2005,2005,PC,Parks Canada,Parcs Canada,Lightning,Foudre,63,a,63,a
2005,2005,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
2006,2006,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,51,a,51,a
2006,2006,PC,Parks Canada,Parcs Canada,Lightning,Foudre,88,a,88,a
2006,2006,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,10,a,10,a
2007,2007,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,66,a,66,a
2007,2007,PC,Parks Canada,Parcs Canada,Lightning,Foudre,24,a,24,a
2007,2007,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,5,a,5,a
2008,2008,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,49,a,49,a
2008,2008,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,20,a,20,a
2008,2008,PC,Parks Canada,Parcs Canada,Lightning,Foudre,53,a,53,a
2008,2008,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,6,a,6,a
2009,2009,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,45,a,45,a
2009,2009,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,19,a,19,a
2009,2009,PC,Parks Canada,Parcs Canada,Lightning,Foudre,79,a,79,a
2009,2009,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,10,a,10,a
2010,2010,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,59,a,59,a
2010,2010,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,13,a,13,a
2010,2010,PC,Parks Canada,Parcs Canada,Lightning,Foudre,50,a,50,a
2010,2010,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
2011,2011,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,46,a,46,a
2011,2011,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,23,a,23,a
2011,2011,PC,Parks Canada,Parcs Canada,Lightning,Foudre,22,a,22,a
2011,2011,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,3,a,3,a
2012,2012,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,27,a,27,a
2012,2012,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,15,a,15,a
2012,2012,PC,Parks Canada,Parcs Canada,Lightning,Foudre,65,a,65,a
2012,2012,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,1,a,1,a
2013,2013,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,29,a,29,a
2013,2013,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,20,a,20,a
2013,2013,PC,Parks Canada,Parcs Canada,Lightning,Foudre,69,a,69,a
2013,2013,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,4,a,4,a
2014,2014,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,10,a,10,a
2014,2014,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,12,a,12,a
2014,2014,PC,Parks Canada,Parcs Canada,Lightning,Foudre,53,a,53,a
2014,2014,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
2015,2015,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,32,a,32,a
2015,2015,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,28,a,28,a
2015,2015,PC,Parks Canada,Parcs Canada,Lightning,Foudre,80,a,80,a
2015,2015,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,10,a,10,a
2016,2016,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,27,a,27,a
2016,2016,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,24,a,24,a
2016,2016,PC,Parks Canada,Parcs Canada,Lightning,Foudre,33,a,33,a
2016,2016,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,5,a,5,a
2017,2017,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,74,a,74,a
2017,2017,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,13,a,13,a
2017,2017,PC,Parks Canada,Parcs Canada,Lightning,Foudre,85,a,85,a
2017,2017,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,7,a,7,a
2018,2018,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,79,a,79,a
2018,2018,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,19,a,19,a
2018,2018,PC,Parks Canada,Parcs Canada,Lightning,Foudre,57,a,57,a
2018,2018,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,13,a,13,a
2018,2018,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,1,a,1,a
2019,2019,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,29,a,29,a
2019,2019,PC,Parks Canada,Parcs Canada,Human activity,ActivitÈs humaines,12,a,12,a
2019,2019,PC,Parks Canada,Parcs Canada,Lightning,Foudre,39,a,39,a
2019,2019,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,2,a,2,a
2019,2019,PC,Parks Canada,Parcs Canada,Unspecified,IndÈterminÈe,5,a,5,a
2018,2018,PE,Prince Edward Island,Ile-du-Prince-Edouard,Human activity,ActivitÈs humaines,8,a,8,a
2019,2019,PE,Prince Edward Island,Ile-du-Prince-Edouard,Human activity,ActivitÈs humaines,3,a,3,a
1990,1990,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,595,a,595,a
1990,1990,QC,Quebec,QuÈbec,Lightning,Foudre,256,a,256,a
1991,1991,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,737,a,737,a
1991,1991,QC,Quebec,QuÈbec,Lightning,Foudre,479,a,479,a
1992,1992,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,648,a,648,a
1992,1992,QC,Quebec,QuÈbec,Lightning,Foudre,117,a,117,a
1993,1993,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,432,a,432,a
1993,1993,QC,Quebec,QuÈbec,Lightning,Foudre,111,a,111,a
1994,1994,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,381,a,381,a
1994,1994,QC,Quebec,QuÈbec,Lightning,Foudre,118,a,118,a
1995,1995,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,672,a,672,a
1995,1995,QC,Quebec,QuÈbec,Lightning,Foudre,593,a,593,a
1996,1996,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,499,a,499,a
1996,1996,QC,Quebec,QuÈbec,Lightning,Foudre,751,a,751,a
1997,1997,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,514,a,514,a
1997,1997,QC,Quebec,QuÈbec,Lightning,Foudre,362,a,362,a
1998,1998,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,645,a,645,a
1998,1998,QC,Quebec,QuÈbec,Lightning,Foudre,209,a,209,a
1999,1999,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,778,a,778,a
1999,1999,QC,Quebec,QuÈbec,Lightning,Foudre,259,a,259,a
2000,2000,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,411,a,411,a
2000,2000,QC,Quebec,QuÈbec,Lightning,Foudre,105,a,105,a
2001,2001,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,738,a,738,a
2001,2001,QC,Quebec,QuÈbec,Lightning,Foudre,265,a,265,a
2002,2002,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,571,a,571,a
2002,2002,QC,Quebec,QuÈbec,Lightning,Foudre,324,a,324,a
2003,2003,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,523,a,523,a
2003,2003,QC,Quebec,QuÈbec,Lightning,Foudre,193,a,193,a
2004,2004,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,277,a,277,a
2004,2004,QC,Quebec,QuÈbec,Lightning,Foudre,42,a,42,a
2005,2005,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,549,a,549,a
2005,2005,QC,Quebec,QuÈbec,Lightning,Foudre,825,a,825,a
2006,2006,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,384,a,384,a
2006,2006,QC,Quebec,QuÈbec,Lightning,Foudre,299,a,299,a
2007,2007,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,507,a,507,a
2007,2007,QC,Quebec,QuÈbec,Lightning,Foudre,428,a,428,a
2008,2008,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,188,a,188,a
2008,2008,QC,Quebec,QuÈbec,Lightning,Foudre,34,a,34,a
2009,2009,QC,Quebec,QuÈbec,Human activity,ActivitÈs humaines,338,a,338,a
