,Year,Jurisdiction,Month_index,Month,Number,Area (hectares),area per fire
491,2002,British Columbia,7,July,404,1676.876,4.1506831683168315
492,2002,British Columbia,8,August,588,645.583,1.0979302721088435
493,2002,British Columbia,9,September,108,110.27,1.0210185185185185
494,2003,British Columbia,1,January,5,9.227,1.8454000000000002
495,2003,British Columbia,10,October,40,15.481,0.387025
496,2003,British Columbia,11,November,16,60.618,3.788625
497,2003,British Columbia,2,February,3,14.018,4.672666666666667
498,2003,British Columbia,3,March,19,84.007,4.42142105263158
499,2003,British Columbia,4,April,98,528.576,5.393632653061225
500,2003,British Columbia,5,May,144,2717.306,18.870180555555557
501,2003,British Columbia,6,June,271,2643.991,9.756424354243542
502,2003,British Columbia,7,July,552,112115.409,203.107625
503,2003,British Columbia,8,August,1114,145353.6,130.4789946140036
504,2003,British Columbia,9,September,195,1371.329,7.03245641025641
505,2004,British Columbia,10,October,35,145.804,4.165828571428571
506,2004,British Columbia,11,November,2,2.3,1.15
507,2004,British Columbia,12,December,1,2.0,2.0
508,2004,British Columbia,2,February,2,1.409,0.7045
509,2004,British Columbia,3,March,43,139.99,3.2555813953488375
510,2004,British Columbia,4,April,178,825.842,4.639561797752809
511,2004,British Columbia,5,May,131,112.712,0.8603969465648855
512,2004,British Columbia,6,June,637,178229.936,279.7958178963893
513,2004,British Columbia,7,July,623,32901.083,52.81072712680577
514,2004,British Columbia,8,August,715,7624.925,10.66423076923077
515,2004,British Columbia,9,September,38,301.476,7.933578947368421
516,2005,British Columbia,1,January,2,0.018,0.009
517,2005,British Columbia,10,October,8,0.545,0.068125
518,2005,British Columbia,11,November,7,194.639,27.80557142857143
519,2005,British Columbia,2,February,9,40.927,4.547444444444444
520,2005,British Columbia,3,March,15,314.455,20.963666666666665
521,2005,British Columbia,4,April,115,546.33,4.750695652173913
522,2005,British Columbia,5,May,270,26341.698,97.56184444444445
523,2005,British Columbia,6,June,89,484.343,5.442056179775281
524,2005,British Columbia,7,July,145,5765.023,39.75877931034483
525,2005,British Columbia,8,August,250,1028.066,4.112264
526,2005,British Columbia,9,September,84,226.022,2.6907380952380953
527,2006,British Columbia,1,January,3,67.2,22.400000000000002
528,2006,British Columbia,10,October,80,269.503,3.3687875
529,2006,British Columbia,11,November,2,0.109,0.0545
530,2006,British Columbia,2,February,3,6.019,2.0063333333333335
531,2006,British Columbia,3,March,9,8.309,0.9232222222222222
532,2006,British Columbia,4,April,174,1898.536,10.91112643678161
533,2006,British Columbia,5,May,202,3722.012,18.42580198019802
534,2006,British Columbia,6,June,230,37090.341,161.26235217391306
535,2006,British Columbia,7,July,1072,84068.044,78.42168283582089
536,2006,British Columbia,8,August,503,2357.783,4.687441351888668
537,2006,British Columbia,9,September,282,9662.936,34.2657304964539
538,2007,British Columbia,1,January,1,0.1,0.1
539,2007,British Columbia,10,October,15,78.965,5.264333333333334
540,2007,British Columbia,11,November,4,15.839,3.95975
541,2007,British Columbia,12,December,1,0.01,0.01
542,2007,British Columbia,2,February,2,0.03,0.015
543,2007,British Columbia,3,March,17,95.747,5.632176470588235
544,2007,British Columbia,4,April,76,507.777,6.681276315789473
545,2007,British Columbia,5,May,159,536.83,3.376289308176101
546,2007,British Columbia,6,June,108,9627.606,89.1445
547,2007,British Columbia,7,July,612,12754.767,20.84112254901961
548,2007,British Columbia,8,August,506,5578.425,11.02455533596838
549,2007,British Columbia,9,September,106,289.408,2.7302641509433965
550,2008,British Columbia,1,January,1,0.05,0.05
551,2008,British Columbia,10,October,66,487.238,7.382393939393939
552,2008,British Columbia,11,November,7,7.637,1.091
553,2008,British Columbia,12,December,1,0.009,0.009
554,2008,British Columbia,2,February,1,19.0,19.0
555,2008,British Columbia,3,March,10,31.47,3.147
556,2008,British Columbia,4,April,117,786.584,6.722940170940171
557,2008,British Columbia,5,May,160,5794.668,36.216674999999995
558,2008,British Columbia,6,June,170,1735.394,10.2082
559,2008,British Columbia,7,July,596,2375.256,3.9853288590604024
560,2008,British Columbia,8,August,777,1743.446,2.2438172458172456
561,2008,British Columbia,9,September,119,366.536,3.0801344537815125
562,2009,British Columbia,1,January,5,312.468,62.4936
563,2009,British Columbia,10,October,49,170.844,3.486612244897959
564,2009,British Columbia,11,November,4,15.709,3.92725
565,2009,British Columbia,2,February,4,1.059,0.26475
566,2009,British Columbia,3,March,17,24.673,1.4513529411764705
567,2009,British Columbia,4,April,163,1708.517,10.481699386503069
568,2009,British Columbia,5,May,196,35094.051,179.0512806122449
569,2009,British Columbia,6,June,458,3669.817,8.012700873362446
570,2009,British Columbia,7,July,1189,168036.336,141.3257661900757
571,2009,British Columbia,8,August,628,37125.742,59.117423566878976
572,2009,British Columbia,9,September,336,1184.252,3.5245595238095238
573,2010,British Columbia,1,January,1,0.3,0.3
574,2010,British Columbia,10,October,51,498.305,9.770686274509805
575,2010,British Columbia,11,November,11,35.654,3.2412727272727277
576,2010,British Columbia,12,December,1,0.1,0.1
577,2010,British Columbia,2,February,1,3.8,3.8
578,2010,British Columbia,3,March,30,82.928,2.7642666666666664
579,2010,British Columbia,4,April,135,1186.398,8.788133333333333
580,2010,British Columbia,5,May,87,2266.734,26.054413793103446
581,2010,British Columbia,6,June,123,41695.365,338.9867073170731
582,2010,British Columbia,7,July,808,280236.707,346.8276076732673
583,2010,British Columbia,8,August,392,10998.495,28.057385204081633
584,2010,British Columbia,9,September,49,162.412,3.314530612244898
585,2011,British Columbia,1,January,2,0.409,0.2045
586,2011,British Columbia,10,October,37,235.645,6.368783783783784
587,2011,British Columbia,11,November,5,103.127,20.6254
588,2011,British Columbia,2,February,2,0.018,0.009
589,2011,British Columbia,3,March,9,16.655,1.8505555555555557
590,2011,British Columbia,4,April,44,178.617,4.059477272727272
591,2011,British Columbia,5,May,65,11250.123,173.07881538461538
592,2011,British Columbia,6,June,65,90.242,1.3883384615384615
593,2011,British Columbia,7,July,102,78.537,0.7699705882352942
594,2011,British Columbia,8,August,216,266.698,1.234712962962963
595,2011,British Columbia,9,September,99,342.814,3.462767676767677
596,2012,British Columbia,1,January,2,0.505,0.2525
597,2012,British Columbia,10,October,83,210.295,2.5336746987951804
598,2012,British Columbia,11,November,2,0.018,0.009
599,2012,British Columbia,12,December,1,0.009,0.009
600,2012,British Columbia,2,February,2,0.109,0.0545
601,2012,British Columbia,3,March,6,41.4,6.8999999999999995
602,2012,British Columbia,4,April,74,581.6,7.85945945945946
603,2012,British Columbia,5,May,168,1154.161,6.870005952380953
604,2012,British Columbia,6,June,55,2785.488,50.64523636363636
605,2012,British Columbia,7,July,414,41431.631,100.07640338164252
606,2012,British Columbia,8,August,629,54768.5,87.07233704292528
607,2012,British Columbia,9,September,204,1142.941,5.602651960784314
608,2013,British Columbia,1,January,1,14.7,14.7
609,2013,British Columbia,10,October,43,537.961,12.510720930232559
610,2013,British Columbia,11,November,1,0.04,0.04
611,2013,British Columbia,12,December,2,1.4,0.7
612,2013,British Columbia,3,March,21,49.245,2.3449999999999998
613,2013,British Columbia,4,April,85,2683.244,31.567576470588236
614,2013,British Columbia,5,May,128,1011.073,7.8990078125
615,2013,British Columbia,6,June,100,4536.343,45.36343
616,2013,British Columbia,7,July,365,2160.106,5.918098630136987
617,2013,British Columbia,8,August,992,3493.303,3.521474798387097
618,2013,British Columbia,9,September,129,3815.684,29.57894573643411
619,2014,British Columbia,1,January,1,0.009,0.009
620,2014,British Columbia,10,October,40,93.929,2.3482250000000002
621,2014,British Columbia,12,December,2,0.069,0.0345
622,2014,British Columbia,2,February,4,38.018,9.5045
623,2014,British Columbia,3,March,10,53.368,5.3368
624,2014,British Columbia,4,April,107,653.94,6.111588785046729
625,2014,British Columbia,5,May,105,2267.561,21.59581904761905
626,2014,British Columbia,6,June,132,37004.468,280.3368787878788
627,2014,British Columbia,7,July,485,305023.733,628.9149134020619
628,2014,British Columbia,8,August,496,23459.327,47.29703024193549
629,2014,British Columbia,9,September,87,331.764,3.813379310344828
630,2015,British Columbia,10,October,27,32.468,1.2025185185185185
631,2015,British Columbia,11,November,3,0.118,0.03933333333333333
632,2015,British Columbia,12,December,1,0.009,0.009
633,2015,British Columbia,2,February,2,6.5,3.25
634,2015,British Columbia,3,March,30,292.704,9.7568
635,2015,British Columbia,4,April,82,867.395,10.577987804878049
636,2015,British Columbia,5,May,309,139298.593,450.8045080906149
637,2015,British Columbia,6,June,440,91354.615,207.62412500000002
638,2015,British Columbia,7,July,535,31237.114,58.38712897196262
639,2015,British Columbia,8,August,403,17770.445,44.095397022332506
640,2015,British Columbia,9,September,31,4.3,0.13870967741935483
641,2016,British Columbia,1,January,3,0.748,0.24933333333333332
642,2016,British Columbia,10,October,12,29.372,2.4476666666666667
643,2016,British Columbia,11,November,3,0.919,0.30633333333333335
644,2016,British Columbia,2,February,7,411.209,58.744142857142855
645,2016,British Columbia,3,March,27,424.445,15.720185185185185
646,2016,British Columbia,4,April,158,91172.189,577.0391708860759
647,2016,British Columbia,5,May,127,288.288,2.269984251968504
648,2016,British Columbia,6,June,161,1198.928,7.446757763975156
649,2016,British Columbia,7,July,205,5164.174,25.19109268292683
650,2016,British Columbia,8,August,323,1675.297,5.186678018575852
651,2016,British Columbia,9,September,42,12.062,0.28719047619047616
652,2017,British Columbia,1,January,1,0.009,0.009
653,2017,British Columbia,10,October,64,513.083,8.016921875
654,2017,British Columbia,11,November,4,1.22,0.305
655,2017,British Columbia,2,February,2,150.009,75.0045
656,2017,British Columbia,3,March,10,19.256,1.9256
657,2017,British Columbia,4,April,39,108.389,2.779205128205128
658,2017,British Columbia,5,May,90,864.437,9.604855555555556
659,2017,British Columbia,6,June,142,4135.645,29.124260563380286
660,2017,British Columbia,7,July,594,1130131.327,1902.5779915824917
661,2017,British Columbia,8,August,299,76936.629,257.3131404682274
662,2017,British Columbia,9,September,104,3279.204,31.530807692307693
663,2018,British Columbia,1,January,1,0.009,0.009
664,2018,British Columbia,10,October,45,199.637,4.4363777777777775
665,2018,British Columbia,11,November,2,0.018,0.009
666,2018,British Columbia,12,December,2,6.399,3.1995
667,2018,British Columbia,3,March,14,140.502,10.035857142857143
668,2018,British Columbia,4,April,50,268.258,5.3651599999999995
669,2018,British Columbia,5,May,175,36551.165,208.8638
670,2018,British Columbia,6,June,325,11542.169,35.514366153846154
671,2018,British Columbia,7,July,670,603465.584,900.6949014925374
672,2018,British Columbia,8,August,755,701699.429,929.4032172185431
673,2018,British Columbia,9,September,50,128.809,2.57618
674,2019,British Columbia,10,October,16,4.545,0.2840625
675,2019,British Columbia,11,November,7,93.267,13.323857142857142
676,2019,British Columbia,2,February,1,0.93,0.93
677,2019,British Columbia,3,March,27,436.815,16.178333333333335
678,2019,British Columbia,4,April,85,513.573,6.042035294117647
679,2019,British Columbia,5,May,135,10093.178,74.76428148148148
680,2019,British Columbia,6,June,191,468.211,2.451366492146597
681,2019,British Columbia,7,July,152,2467.828,16.23571052631579
682,2019,British Columbia,8,August,125,7357.923,58.863383999999996
683,2019,British Columbia,9,September,95,70.254,0.7395157894736842
684,2020,British Columbia,3,March,19,87.556,4.60821052631579
685,1990,Manitoba,10,October,36,2123.4,58.983333333333334
686,1990,Manitoba,11,November,13,324.8,24.984615384615385
687,1990,Manitoba,12,December,1,0.2,0.2
688,1990,Manitoba,4,April,39,2774.5,71.14102564102564
689,1990,Manitoba,5,May,71,337.9,4.759154929577464
690,1990,Manitoba,6,June,85,400.6,4.712941176470588
691,1990,Manitoba,7,July,90,5377.4,59.748888888888885
692,1990,Manitoba,8,August,176,4754.3,27.013068181818184
693,1990,Manitoba,9,September,51,51.9,1.0176470588235293
694,1991,Manitoba,1,January,5,40.7,8.14
695,1991,Manitoba,10,October,6,61.0,10.166666666666666
696,1991,Manitoba,2,February,3,0.5,0.16666666666666666
697,1991,Manitoba,3,March,12,808.1,67.34166666666667
698,1991,Manitoba,4,April,109,22329.2,204.85504587155964
699,1991,Manitoba,5,May,75,61853.6,824.7146666666666
700,1991,Manitoba,6,June,77,582.2,7.561038961038961
701,1991,Manitoba,7,July,142,41440.5,291.8345070422535
702,1991,Manitoba,8,August,222,23712.6,106.81351351351351
703,1991,Manitoba,9,September,21,157.3,7.490476190476191
704,1992,Manitoba,10,October,4,8.6,2.15
705,1992,Manitoba,2,February,1,566.0,566.0
706,1992,Manitoba,3,March,1,0.3,0.3
707,1992,Manitoba,4,April,7,192.3,27.47142857142857
708,1992,Manitoba,5,May,76,3461.2,45.54210526315789
709,1992,Manitoba,6,June,45,267155.1,5936.78
710,1992,Manitoba,7,July,57,150466.9,2639.770175438596
711,1992,Manitoba,8,August,102,11848.8,116.16470588235293
712,1992,Manitoba,9,September,5,74.6,14.919999999999998
713,1993,Manitoba,10,October,1,0.1,0.1
714,1993,Manitoba,3,March,2,650.0,325.0
715,1993,Manitoba,4,April,39,1313.4,33.67692307692308
716,1993,Manitoba,5,May,67,905.8,13.519402985074626
717,1993,Manitoba,6,June,97,62061.7,639.8113402061855
718,1993,Manitoba,7,July,24,2340.1,97.50416666666666
719,1993,Manitoba,8,August,6,2.6,0.43333333333333335
720,1993,Manitoba,9,September,3,0.7,0.2333333333333333
721,1994,Manitoba,10,October,7,765.0,109.28571428571429
722,1994,Manitoba,11,November,1,0.1,0.1
723,1994,Manitoba,3,March,1,25.0,25.0
724,1994,Manitoba,4,April,49,2695.8,55.01632653061225
725,1994,Manitoba,5,May,115,4105.1,35.69652173913044
726,1994,Manitoba,6,June,170,890225.1,5236.618235294118
727,1994,Manitoba,7,July,82,352706.0,4301.292682926829
728,1994,Manitoba,8,August,73,158771.7,2174.954794520548
729,1994,Manitoba,9,September,57,19491.9,341.96315789473687
730,1995,Manitoba,10,October,21,2989.9,142.3761904761905
731,1995,Manitoba,4,April,13,935.9,71.99230769230769
732,1995,Manitoba,5,May,154,37707.6,244.85454545454544
733,1995,Manitoba,6,June,344,789658.1,2295.5177325581394
734,1995,Manitoba,7,July,90,57393.9,637.71
735,1995,Manitoba,8,August,28,429.1,15.325000000000001
736,1995,Manitoba,9,September,12,122.7,10.225
737,1996,Manitoba,0,Unspecified,2,2.1,1.05
738,1996,Manitoba,10,October,4,6.5,1.625
739,1996,Manitoba,4,April,1,0.2,0.2
740,1996,Manitoba,5,May,77,2587.4,33.602597402597404
741,1996,Manitoba,6,June,103,40539.6,393.5883495145631
742,1996,Manitoba,7,July,155,51528.1,332.4393548387097
743,1996,Manitoba,8,August,59,16851.3,285.6152542372881
744,1996,Manitoba,9,September,23,13811.2,600.4869565217392
745,1997,Manitoba,0,Unspecified,1,0.2,0.2
746,1997,Manitoba,10,October,1,3.0,3.0
747,1997,Manitoba,4,April,8,100.7,12.5875
748,1997,Manitoba,5,May,83,943.2,11.363855421686747
749,1997,Manitoba,6,June,87,7365.4,84.65977011494252
750,1997,Manitoba,7,July,102,18738.2,183.7078431372549
751,1997,Manitoba,8,August,83,14637.8,176.3590361445783
752,1997,Manitoba,9,September,8,10.6,1.325
753,1998,Manitoba,0,Unspecified,9,116854.9,12983.877777777778
754,1998,Manitoba,10,October,1,0.1,0.1
755,1998,Manitoba,11,November,1,3.2,3.2
756,1998,Manitoba,4,April,110,4262.3,38.74818181818182
757,1998,Manitoba,5,May,51,245.8,4.8196078431372555
758,1998,Manitoba,6,June,52,174508.6,3355.9346153846154
759,1998,Manitoba,7,July,136,111672.7,821.122794117647
760,1998,Manitoba,8,August,106,42853.2,404.27547169811317
761,1998,Manitoba,9,September,50,171.3,3.426
762,1999,Manitoba,1,January,2,0.4,0.2
763,1999,Manitoba,10,October,5,1.7,0.33999999999999997
764,1999,Manitoba,4,April,133,18201.7,136.85488721804512
765,1999,Manitoba,5,May,104,34930.6,335.87115384615385
766,1999,Manitoba,6,June,115,24762.9,215.32956521739132
767,1999,Manitoba,7,July,125,7269.6,58.156800000000004
768,1999,Manitoba,8,August,112,25227.8,225.24821428571428
769,1999,Manitoba,9,September,17,58.8,3.4588235294117644
770,2000,Manitoba,0,Unspecified,353,111699.272,316.4285325779037
771,2001,Manitoba,0,Unspecified,527,80521.829,152.79284440227704
772,2002,Manitoba,0,Unspecified,755,95404.79,126.36396026490065
773,2003,Manitoba,0,Unspecified,1207,938176.427,777.2795584092793
774,2004,Manitoba,0,Unspecified,3,1021.5,340.5
775,2004,Manitoba,4,April,5,84.0,16.8
776,2004,Manitoba,5,May,8,275.5,34.4375
777,2004,Manitoba,6,June,2,22.0,11.0
778,2004,Manitoba,7,July,35,25105.3,717.2942857142857
779,2004,Manitoba,8,August,2,312.1,156.05
780,2005,Manitoba,10,October,2,0.2,0.1
781,2005,Manitoba,4,April,30,926.5,30.883333333333333
782,2005,Manitoba,5,May,31,126.2,4.070967741935484
783,2005,Manitoba,6,June,22,3191.7,145.0772727272727
784,2005,Manitoba,7,July,140,67982.8,485.5914285714286
785,2005,Manitoba,8,August,21,452.8,21.561904761904763
786,2005,Manitoba,9,September,2,0.4,0.2
787,2006,Manitoba,10,October,6,130.0,21.666666666666668
788,2006,Manitoba,11,November,1,2690.0,2690.0
789,2006,Manitoba,4,April,44,339.4,7.713636363636363
790,2006,Manitoba,5,May,26,316.6,12.176923076923078
791,2006,Manitoba,6,June,237,149288.9,629.910970464135
792,2006,Manitoba,7,July,172,2078.2,12.082558139534882
793,2006,Manitoba,8,August,115,11058.2,96.15826086956523
794,2006,Manitoba,9,September,81,149.0,1.8395061728395061
795,2007,Manitoba,10,October,1,10.0,10.0
796,2007,Manitoba,4,April,37,3482.1,94.1108108108108
797,2007,Manitoba,5,May,53,1073.1,20.247169811320752
798,2007,Manitoba,6,June,71,1928.5,27.161971830985916
799,2007,Manitoba,7,July,161,329558.6,2046.9478260869564
800,2007,Manitoba,8,August,50,74.6,1.492
801,2007,Manitoba,9,September,9,153.9,17.1
802,2008,Manitoba,10,October,2,40.5,20.25
803,2008,Manitoba,4,April,18,2199.7,122.20555555555555
804,2008,Manitoba,5,May,154,70975.7,460.8811688311688
805,2008,Manitoba,6,June,123,27867.3,226.56341463414634
806,2008,Manitoba,7,July,40,10181.3,254.53249999999997
807,2008,Manitoba,8,August,54,39407.3,729.7648148148148
808,2008,Manitoba,9,September,6,0.8,0.13333333333333333
809,2009,Manitoba,10,October,17,46.3,2.7235294117647055
810,2009,Manitoba,4,April,2,0.4,0.2
811,2009,Manitoba,5,May,35,1871.0,53.457142857142856
812,2009,Manitoba,6,June,72,692.7,9.620833333333334
813,2009,Manitoba,7,July,21,110.1,5.242857142857143
814,2009,Manitoba,8,August,11,19.2,1.7454545454545454
815,2009,Manitoba,9,September,26,132.3,5.088461538461539
816,2010,Manitoba,4,April,90,3994.5,44.38333333333333
817,2010,Manitoba,5,May,62,423.4,6.829032258064516
818,2010,Manitoba,6,June,79,3923.2,49.66075949367088
819,2010,Manitoba,7,July,211,24216.2,114.76872037914693
820,2010,Manitoba,8,August,115,32700.9,284.35565217391303
821,2010,Manitoba,9,September,26,122235.9,4701.380769230769
822,2011,Manitoba,10,October,26,10744.4,413.24615384615385
823,2011,Manitoba,11,November,6,34026.0,5671.0
824,2011,Manitoba,4,April,5,20.9,4.18
825,2011,Manitoba,5,May,37,74.2,2.0054054054054054
826,2011,Manitoba,6,June,38,208.6,5.489473684210526
827,2011,Manitoba,7,July,104,48765.0,468.8942307692308
828,2011,Manitoba,8,August,82,32829.7,400.3621951219512
829,2011,Manitoba,9,September,17,175.5,10.323529411764707
830,2012,Manitoba,10,October,6,6386.9,1064.4833333333333
831,2012,Manitoba,3,March,11,2093.6,190.3272727272727
832,2012,Manitoba,4,April,51,3611.6,70.8156862745098
833,2012,Manitoba,5,May,40,11681.5,292.0375
834,2012,Manitoba,6,June,61,9403.1,154.14918032786886
835,2012,Manitoba,7,July,263,179474.6,682.412927756654
836,2012,Manitoba,8,August,43,2983.2,69.37674418604651
837,2012,Manitoba,9,September,22,1253.8,56.99090909090909
838,2013,Manitoba,11,November,1,0.1,0.1
839,2013,Manitoba,4,April,3,4.2,1.4000000000000001
840,2013,Manitoba,5,May,69,9564.3,138.61304347826086
841,2013,Manitoba,6,June,106,807139.2,7614.52075471698
842,2013,Manitoba,7,July,169,246307.2,1457.439053254438
843,2013,Manitoba,8,August,103,52237.4,507.1592233009709
844,2013,Manitoba,9,September,43,162.4,3.776744186046512
845,2014,Manitoba,10,October,1,0.1,0.1
846,2014,Manitoba,4,April,5,236.4,47.28
847,2014,Manitoba,5,May,40,797.0,19.925
848,2014,Manitoba,6,June,49,1281.3,26.148979591836735
849,2014,Manitoba,7,July,45,19095.9,424.35333333333335
850,2014,Manitoba,8,August,94,17255.6,183.57021276595742
851,2014,Manitoba,9,September,11,441.6,40.14545454545455
852,2015,Manitoba,10,October,2,1600.1,800.05
853,2015,Manitoba,3,March,2,7.1,3.55
854,2015,Manitoba,4,April,47,1705.2,36.280851063829786
855,2015,Manitoba,5,May,74,2245.3,30.341891891891894
856,2015,Manitoba,6,June,151,51300.6,339.7390728476821
857,2015,Manitoba,7,July,169,9830.3,58.16745562130177
858,2015,Manitoba,8,August,13,1442.9,110.9923076923077
859,2015,Manitoba,9,September,1,0.1,0.1
860,2016,Manitoba,4,April,20,772.1,38.605000000000004
861,2016,Manitoba,5,May,56,17914.6,319.9035714285714
862,2016,Manitoba,6,June,64,10348.3,161.6921875
863,2016,Manitoba,7,July,42,8970.0,213.57142857142858
864,2016,Manitoba,8,August,15,399.0,26.6
865,2016,Manitoba,9,September,5,3.5,0.7
866,2017,Manitoba,10,October,11,463.1,42.1
867,2017,Manitoba,4,April,6,12.5,2.0833333333333335
868,2017,Manitoba,5,May,42,768.2,18.29047619047619
869,2017,Manitoba,6,June,27,15289.3,566.2703703703703
870,2017,Manitoba,7,July,140,53281.5,380.58214285714286
871,2017,Manitoba,8,August,298,150690.3,505.6721476510067
872,2017,Manitoba,9,September,33,2674.6,81.04848484848485
873,2018,Manitoba,4,April,33,5559.8,168.4787878787879
874,2018,Manitoba,5,May,172,66744.5,388.0494186046512
875,2018,Manitoba,6,June,97,31403.0,323.74226804123714
876,2018,Manitoba,7,July,106,122061.3,1151.5216981132075
877,2018,Manitoba,8,August,53,8413.8,158.7509433962264
878,2018,Manitoba,9,September,15,39.3,2.6199999999999997
879,2019,Manitoba,4,April,20,2806.5,140.325
880,2019,Manitoba,5,May,80,4663.4,58.2925
881,2019,Manitoba,6,June,59,39958.9,677.2694915254237
882,2019,Manitoba,7,July,84,23714.3,282.31309523809523
883,2019,Manitoba,8,August,34,111.0,3.264705882352941
884,2019,Manitoba,9,September,1,33.1,33.1
885,1990,New Brunswick,10,October,4,0.2,0.05
886,1990,New Brunswick,3,March,1,0.0,0.0
887,1990,New Brunswick,4,April,42,53.3,1.269047619047619
888,1990,New Brunswick,5,May,71,88.1,1.2408450704225351
889,1990,New Brunswick,6,June,100,6011.8,60.118
890,1990,New Brunswick,7,July,114,25.7,0.22543859649122808
891,1990,New Brunswick,8,August,32,10.7,0.334375
892,1990,New Brunswick,9,September,13,28.6,2.2
893,1991,New Brunswick,10,October,7,12.1,1.7285714285714284
894,1991,New Brunswick,11,November,1,0.0,0.0
895,1991,New Brunswick,4,April,91,218.4,2.4
896,1991,New Brunswick,5,May,154,216.2,1.4038961038961038
897,1991,New Brunswick,6,June,150,2993.5,19.956666666666667
898,1991,New Brunswick,7,July,141,56.8,0.4028368794326241
899,1991,New Brunswick,8,August,92,42.1,0.45760869565217394
900,1991,New Brunswick,9,September,20,19.9,0.9949999999999999
901,1992,New Brunswick,10,October,14,5.4,0.38571428571428573
902,1992,New Brunswick,4,April,50,146.1,2.9219999999999997
903,1992,New Brunswick,5,May,345,5160.0,14.956521739130435
904,1992,New Brunswick,6,June,78,58.7,0.7525641025641026
905,1992,New Brunswick,7,July,24,9.7,0.4041666666666666
906,1992,New Brunswick,8,August,42,9.1,0.21666666666666665
907,1992,New Brunswick,9,September,23,9.9,0.43043478260869567
908,1993,New Brunswick,10,October,3,1.2,0.39999999999999997
909,1993,New Brunswick,4,April,60,129.9,2.165
910,1993,New Brunswick,5,May,195,294.3,1.5092307692307694
911,1993,New Brunswick,6,June,40,8.4,0.21000000000000002
912,1993,New Brunswick,7,July,32,324.1,10.128125
913,1993,New Brunswick,8,August,72,15.2,0.2111111111111111
914,1993,New Brunswick,9,September,28,5.2,0.18571428571428572
915,1994,New Brunswick,10,October,137,421.7,3.078102189781022
916,1994,New Brunswick,11,November,22,32.2,1.4636363636363638
917,1994,New Brunswick,4,April,41,96.5,2.3536585365853657
918,1994,New Brunswick,5,May,89,170.4,1.9146067415730337
919,1994,New Brunswick,6,June,37,23.7,0.6405405405405405
920,1994,New Brunswick,7,July,48,9.5,0.19791666666666666
921,1994,New Brunswick,8,August,104,90.8,0.8730769230769231
922,1994,New Brunswick,9,September,40,8.5,0.2125
923,1995,New Brunswick,10,October,11,4.8,0.43636363636363634
924,1995,New Brunswick,11,November,2,0.2,0.1
925,1995,New Brunswick,4,April,28,59.0,2.107142857142857
926,1995,New Brunswick,5,May,71,149.4,2.104225352112676
927,1995,New Brunswick,6,June,116,130.6,1.1258620689655172
928,1995,New Brunswick,7,July,89,19.3,0.21685393258426966
929,1995,New Brunswick,8,August,156,107.3,0.6878205128205128
930,1995,New Brunswick,9,September,74,98.9,1.3364864864864865
931,1996,New Brunswick,10,October,13,9.3,0.7153846153846154
932,1996,New Brunswick,11,November,1,1.0,1.0
933,1996,New Brunswick,3,March,1,1.0,1.0
934,1996,New Brunswick,4,April,26,143.6,5.523076923076923
935,1996,New Brunswick,5,May,75,89.9,1.1986666666666668
936,1996,New Brunswick,6,June,129,1518.9,11.774418604651164
937,1996,New Brunswick,7,July,11,3.7,0.33636363636363636
938,1996,New Brunswick,8,August,74,199.4,2.694594594594595
939,1996,New Brunswick,9,September,37,50.0,1.3513513513513513
940,1997,New Brunswick,10,October,45,32.7,0.7266666666666667
941,1997,New Brunswick,11,November,2,0.2,0.1
942,1997,New Brunswick,4,April,16,71.1,4.44375
943,1997,New Brunswick,5,May,72,69.5,0.9652777777777778
944,1997,New Brunswick,6,June,68,34.5,0.5073529411764706
945,1997,New Brunswick,7,July,77,38.1,0.4948051948051948
946,1997,New Brunswick,8,August,75,14.9,0.19866666666666666
947,1997,New Brunswick,9,September,13,2.9,0.22307692307692306
948,1998,New Brunswick,10,October,7,0.5,0.07142857142857142
949,1998,New Brunswick,11,November,2,0.1,0.05
950,1998,New Brunswick,4,April,67,209.4,3.1253731343283584
951,1998,New Brunswick,5,May,61,163.7,2.683606557377049
952,1998,New Brunswick,6,June,29,3.3,0.11379310344827585
953,1998,New Brunswick,7,July,44,15.7,0.3568181818181818
954,1998,New Brunswick,8,August,73,19.0,0.2602739726027397
955,1998,New Brunswick,9,September,5,0.7,0.13999999999999999
956,1999,New Brunswick,10,October,3,0.8,0.26666666666666666
957,1999,New Brunswick,11,November,7,2.5,0.35714285714285715
958,1999,New Brunswick,12,December,1,4.0,4.0
959,1999,New Brunswick,4,April,55,76.7,1.3945454545454545
960,1999,New Brunswick,5,May,180,350.5,1.9472222222222222
961,1999,New Brunswick,6,June,210,926.5,4.411904761904762
962,1999,New Brunswick,7,July,80,50.6,0.6325000000000001
963,1999,New Brunswick,8,August,40,12.5,0.3125
964,1999,New Brunswick,9,September,31,28.7,0.9258064516129032
965,2000,New Brunswick,10,October,30,148.7,4.956666666666666
966,2000,New Brunswick,4,April,29,52.3,1.803448275862069
967,2000,New Brunswick,5,May,70,94.2,1.3457142857142859
968,2000,New Brunswick,6,June,76,156.4,2.057894736842105
969,2000,New Brunswick,7,July,40,14.4,0.36
970,2000,New Brunswick,8,August,44,12.8,0.29090909090909095
971,2000,New Brunswick,9,September,44,12.3,0.27954545454545454
972,2001,New Brunswick,10,October,29,42.5,1.4655172413793103
973,2001,New Brunswick,11,November,3,2.2,0.7333333333333334
